,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,skills
933,Founder and Communication Manager,Graphic Design,Python (Programming Language),Natural Language Processing (NLP),Computer Vision,PyTorch,Python,unknown,['unknown'],unknown,,,,,,,,,,"['Graphic Design', 'Python (Programming Language)', 'Natural Language Processing (NLP)', 'Computer Vision', 'PyTorch', 'Python']"
934,Business Intelligence Engineer,SAP Analytics Cloud,SAP BW,SAP BI,Symfony Framework,Cascading Style Sheets (CSS),oracle apex,Skills: SAP Analytics Cloud · SAP BW · SAP BI,['Skills: SAP Analytics Cloud · SAP BW · SAP BI'],Skills: SAP Analytics Cloud · SAP BW · SAP BI,,,,,,,,,,"['SAP Analytics Cloud', 'SAP BW', 'SAP BI', 'Symfony Framework', 'Cascading Style Sheets (CSS)', 'oracle apex']"
935,Business Intelligence Internal,Customer Relationship Management (CRM),Digital Transformation,Business Intelligence (BI),Microsoft Dynamics AX,Business Analysis,HTML,Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL,['Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL'],Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL,,,,,,,,,,"['Customer Relationship Management (CRM)', 'Digital Transformation', 'Business Intelligence (BI)', 'Microsoft Dynamics AX', 'Business Analysis', 'HTML']"
936,Data Analyst,Big Data Analytics,Data Analysis,Data Mining,HTML,Cascading Style Sheets (CSS),JavaScript,unknown,['unknown'],unknown,,,,,,,,,,"['Big Data Analytics', 'Data Analysis', 'Data Mining', 'HTML', 'Cascading Style Sheets (CSS)', 'JavaScript']"
937,Business Intelligence Developer,Microsoft Power BI,Python (programming language),R (programming language),Spring Boot,.NET framework,Project management,"Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.
this solution based on 3 steps:
1/Data prepertion: data clearing with Python and R
2/Elaborate the modelling phase
3/Creating a predictive model","['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,,"['Microsoft Power BI', 'Python (programming language)', 'R (programming language)', 'Spring Boot', '.NET framework', 'Project management']"
938,unknown,Data Science,Machine Learning,Python (Programming Language),unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['Data Science', 'Machine Learning', 'Python (Programming Language)', 'unknown', 'unknown', 'unknown']"
939,Business Intelligence Internal,MongoDB,DAX,Data Analysis,ETL Tools,Data Mining,Microsoft SQL Server,Collateral management and analysis,['Collateral management and analysis'],Collateral management and analysis,,,,,,,,,,"['MongoDB', 'DAX', 'Data Analysis', 'ETL Tools', 'Data Mining', 'Microsoft SQL Server']"
940,Business Intelligence Internal,Microsoft Power BI,SQL Server Management Studio,Microsoft SQL Server,"Extract, Transform, Load (ETL)",SQL,Python (programming language),Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL,['Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL'],Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL,,,,,,,,,,"['Microsoft Power BI', 'SQL Server Management Studio', 'Microsoft SQL Server', 'Extract, Transform, Load (ETL)', 'SQL', 'Python (programming language)']"
941,Business Intelligence Developer,"Extract, Transform, Load (ETL)",SQL,Microsoft Power Query,powerbi,Oracle SQL Developer,Microsoft SQL Server,unknown,['unknown'],unknown,,,,,,,,,,"['Extract, Transform, Load (ETL)', 'SQL', 'Microsoft Power Query', 'powerbi', 'Oracle SQL Developer', 'Microsoft SQL Server']"
942,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
943,web3 developer,PHP,HTML5,JavaScript,HTML,Node.js,Laravel,I'm currently a we3 developer at Lightency.,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,,"['PHP', 'HTML5', 'JavaScript', 'HTML', 'Node.js', 'Laravel']"
944,Business Intelligence Internal,Microsoft Power BI,Talend,R,Python,Microsoft Excel,Decision-making informatics,Skills: Microsoft Power BI · Talend · R · Microsoft Excel,['Skills: Microsoft Power BI · Talend · R · Microsoft Excel'],Skills: Microsoft Power BI · Talend · R · Microsoft Excel,,,,,,,,,,"['Microsoft Power BI', 'Talend', 'R', 'Python', 'Microsoft Excel', 'Decision-making informatics']"
945,Student engineer,C++,Engineering,Project management,HTML5,Css,JavaScript,Skills: Databases,['Skills: Databases'],Skills: Databases,,,,,,,,,,"['C++', 'Engineering', 'Project management', 'HTML5', 'Css', 'JavaScript']"
946,Consultant Business Intelligence,Data analysis,Big Data Analysis,Microsoft BI Suite,SQL No,MongoDB,Talend,unknown,['unknown'],unknown,,,,,,,,,,"['Data analysis', 'Big Data Analysis', 'Microsoft BI Suite', 'SQL No', 'MongoDB', 'Talend']"
947,Data Analyst,JIRA,Teamwork,Table,MySQL,Pawer bi,Microsoft SQL Server,Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel,['Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel'],Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel,,,,,,,,,,"['JIRA', 'Teamwork', 'Table', 'MySQL', 'Pawer bi', 'Microsoft SQL Server']"
948,Intern Data Analyst,SQL Server Integration Services (SSIS),SQL Server Analysis Services (SSAS),SQL Server Reporting Services (SSRS),SQL Server Management Studio,Microsoft SQL Server,Microsoft Power BI,"creation of a decision-making solution to analyze workload and capacity in order to estimate the number of hires in the next 5 years for all departments of the Airbus helicopter client.
-Updating the Macro (VBA) of the various Excel files
-Extraction, transformation and download of data
-Deployment of OLAP cubes
-Implementing dynamic decision-making relationships 
Environment: Visual Basic for Applications (VBA), Excel, SAP PCB

Implementation of a form for applications for the export control of Airbus helicopter, extraction of data and development of a dashboard in order to have a comprehensive and profound view of the analyses of the applications, their follow-up and their progress. 
-Implementing a form for applications 
-Implementing a website that allows users to track their requests. 
-Extraction, transformation and download of data
-Put in place a decision-making dashboard.
Environment : Google Forms, Google Sites, App Scripts, Data Studio","['creation of a decision-making solution to analyze workload and capacity in order to estimate the number of hires in the next 5 years for all departments of the Airbus helicopter client.', '-Updating the Macro (VBA) of the various Excel files', '-Extraction, transformation and download of data', '-Deployment of OLAP cubes', '-Implementing dynamic decision-making relationships ', 'Environment: Visual Basic for Applications (VBA), Excel, SAP PCB', '', 'Implementation of a form for applications for the export control of Airbus helicopter, extraction of data and development of a dashboard in order to have a comprehensive and profound view of the analyses of the applications, their follow-up and their progress. ', '-Implementing a form for applications ', '-Implementing a website that allows users to track their requests. ', '-Extraction, transformation and download of data', '-Put in place a decision-making dashboard.', 'Environment : Google Forms, Google Sites, App Scripts, Data Studio']",creation of a decision-making solution to analyze workload and capacity in order to estimate the number of hires in the next 5 years for all departments of the Airbus helicopter client.,-Updating the Macro (VBA) of the various Excel files,"-Extraction, transformation and download of data",-Deployment of OLAP cubes,-Implementing dynamic decision-making relationships ,"Environment: Visual Basic for Applications (VBA), Excel, SAP PCB",,"Implementation of a form for applications for the export control of Airbus helicopter, extraction of data and development of a dashboard in order to have a comprehensive and profound view of the analyses of the applications, their follow-up and their progress. ",-Implementing a form for applications ,-Implementing a website that allows users to track their requests. ,"['SQL Server Integration Services (SSIS)', 'SQL Server Analysis Services (SSAS)', 'SQL Server Reporting Services (SSRS)', 'SQL Server Management Studio', 'Microsoft SQL Server', 'Microsoft Power BI']"
949,Business Intelligence Consultant,SQL Server Management Studio,Business Intelligence (BI),SQL,Microsoft Power BI,SQL Server Integration Services (SSIS),Python (Programming Language),"National Observatory Project:
Drafting of technical and functional specifications
Development of different data integration packages
Cadming
Pilotage","['National Observatory Project:', 'Drafting of technical and functional specifications', 'Development of different data integration packages', 'Cadming', 'Pilotage']",National Observatory Project:,Drafting of technical and functional specifications,Development of different data integration packages,Cadming,Pilotage,,,,,,"['SQL Server Management Studio', 'Business Intelligence (BI)', 'SQL', 'Microsoft Power BI', 'SQL Server Integration Services (SSIS)', 'Python (Programming Language)']"
950,Business Intelligence Developer,SQL Server Integration Services (SSIS),SQL Server Management Studio,SQL,Spring Boot,Angular,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['SQL Server Integration Services (SSIS)', 'SQL Server Management Studio', 'SQL', 'Spring Boot', 'Angular', 'Data analysis']"
951,Teacher-Trainer : BIG DATA,Android,Firebase,Talend Open Studio,powerbi,Python (programming language),Hadoop,unknown,['unknown'],unknown,,,,,,,,,,"['Android', 'Firebase', 'Talend Open Studio', 'powerbi', 'Python (programming language)', 'Hadoop']"
952,Full Stack Engineer,Redash,PostgreSQL,Django,Angular,redash,ClickHouse,Skills: Django · Angular · redash · ClickHouse,['Skills: Django · Angular · redash · ClickHouse'],Skills: Django · Angular · redash · ClickHouse,,,,,,,,,,"['Redash', 'PostgreSQL', 'Django', 'Angular', 'redash', 'ClickHouse']"
953,Trainee,Sense of organization,Data collection,Data warehouse,Data analysis,Teamwork,Advertising,Skills: Data collection · Data warehouse · Data analysis · Teamwork · Microsoft Power BI,['Skills: Data collection · Data warehouse · Data analysis · Teamwork · Microsoft Power BI'],Skills: Data collection · Data warehouse · Data analysis · Teamwork · Microsoft Power BI,,,,,,,,,,"['Sense of organization', 'Data collection', 'Data warehouse', 'Data analysis', 'Teamwork', 'Advertising']"
954,Consultant business intelligence,Microsoft Power BI,SQL Server Integration Services (SSIS),SQL Server Analysis Services (SSAS),SQL Server Reporting Services (SSRS),Microsoft SQL Server,Talend,"• Analyze and identify functional and technical needs.
• Model and enrich the datawarehouse.
• Scheduling and deployment of jobs.
• Guidance: Training and mentoring of trainees for end-of-studies projects","['• Analyze and identify functional and technical needs.', '• Model and enrich the datawarehouse.', '• Scheduling and deployment of jobs.', '• Guidance: Training and mentoring of trainees for end-of-studies projects']",• Analyze and identify functional and technical needs.,• Model and enrich the datawarehouse.,• Scheduling and deployment of jobs.,• Guidance: Training and mentoring of trainees for end-of-studies projects,,,,,,,"['Microsoft Power BI', 'SQL Server Integration Services (SSIS)', 'SQL Server Analysis Services (SSAS)', 'SQL Server Reporting Services (SSRS)', 'Microsoft SQL Server', 'Talend']"
955,Engineer BI,Data Analysis,Data Visualization,Machine Learning,"Extract, Transform, Load (ETL)",Data Mining,Big Data,unknown,['unknown'],unknown,,,,,,,,,,"['Data Analysis', 'Data Visualization', 'Machine Learning', 'Extract, Transform, Load (ETL)', 'Data Mining', 'Big Data']"
956,unknown,Microsoft Power BI,Big data,Project Management,Project Planning,Data Modeling,Data Mining,unknown,['unknown'],unknown,,,,,,,,,,"['Microsoft Power BI', 'Big data', 'Project Management', 'Project Planning', 'Data Modeling', 'Data Mining']"
957,Business Intelligence Internal,Microsoft Power BI,HTML5,Cascading Style Sheets (CSS),Boy Scouts,Camping,unknown,"I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.","[""I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.""]","I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.",,,,,,,,,,"['Microsoft Power BI', 'HTML5', 'Cascading Style Sheets (CSS)', 'Boy Scouts', 'Camping', 'unknown']"
958,Machine Learning Engineer,Google Analytics,R (Programming Language),MySQL,Machine Learning,Python (Programming Language),Microsoft Excel,"Designed ML algorithm using OCR (extracting handwriter information from scans, photos, and other low-quality digital documents) that assessed up to 75% efficiency.
The ability to extract information from financial documents based on machine learning and deep learning, and integrate this solution into a web application (Python, Html, CSS, Flask).","['Designed ML algorithm using OCR (extracting handwriter information from scans, photos, and other low-quality digital documents) that assessed up to 75% efficiency.', 'The ability to extract information from financial documents based on machine learning and deep learning, and integrate this solution into a web application (Python, Html, CSS, Flask).']","Designed ML algorithm using OCR (extracting handwriter information from scans, photos, and other low-quality digital documents) that assessed up to 75% efficiency.","The ability to extract information from financial documents based on machine learning and deep learning, and integrate this solution into a web application (Python, Html, CSS, Flask).",,,,,,,,,"['Google Analytics', 'R (Programming Language)', 'MySQL', 'Machine Learning', 'Python (Programming Language)', 'Microsoft Excel']"
959,Artificial Intelligence Internal,Python (Programming Language),Machine Learning,Deep Learning,Django,Business Intelligence (BI),Data Collection,unknown,['unknown'],unknown,,,,,,,,,,"['Python (Programming Language)', 'Machine Learning', 'Deep Learning', 'Django', 'Business Intelligence (BI)', 'Data Collection']"
960,Junior Solutions Architect,Leadership,Communication,Professional Responsibility,DASH,SQL,Python (Programming Language),Skills: DASH · SQL · Python (Programming Language) · Flask · vaex,['Skills: DASH · SQL · Python (Programming Language) · Flask · vaex'],Skills: DASH · SQL · Python (Programming Language) · Flask · vaex,,,,,,,,,,"['Leadership', 'Communication', 'Professional Responsibility', 'DASH', 'SQL', 'Python (Programming Language)']"
961,unknown,Symfony Framework,Adobe Illustrator,MySQL,Qt,PL/SQL,HTML,unknown,['unknown'],unknown,,,,,,,,,,"['Symfony Framework', 'Adobe Illustrator', 'MySQL', 'Qt', 'PL/SQL', 'HTML']"
962,Student,Business Analytics,Data Visualization,Business Intelligence Tools,Microsoft Excel,Webmastering,Enterprise Resource Planning (ERP),Skills: Business Analytics · Data Visualization,['Skills: Business Analytics · Data Visualization'],Skills: Business Analytics · Data Visualization,,,,,,,,,,"['Business Analytics', 'Data Visualization', 'Business Intelligence Tools', 'Microsoft Excel', 'Webmastering', 'Enterprise Resource Planning (ERP)']"
963,Student,Spring MVC model,"Extract, Transform, Load (ETL)",Nexus,Grafana,Jenkins,DevOps,unknown,['unknown'],unknown,,,,,,,,,,"['Spring MVC model', 'Extract, Transform, Load (ETL)', 'Nexus', 'Grafana', 'Jenkins', 'DevOps']"
964,Data consultant,Business Intelligence,Microsoft Power BI,Big Data,Hadoop,Data Analysis,MBS,unknown,['unknown'],unknown,,,,,,,,,,"['Business Intelligence', 'Microsoft Power BI', 'Big Data', 'Hadoop', 'Data Analysis', 'MBS']"
965,unknown,JavaFX,Symfony Framework,SQL,Project management,Object-oriented programming (OOP),PHP,unknown,['unknown'],unknown,,,,,,,,,,"['JavaFX', 'Symfony Framework', 'SQL', 'Project management', 'Object-oriented programming (OOP)', 'PHP']"
966,Business intelligence,Microsoft Power BI,Project management,Management of market research projects,Distributed Team Management,Data analysis,Analysis of requirements,Skills: Microsoft Power BI · Project Management,['Skills: Microsoft Power BI · Project Management'],Skills: Microsoft Power BI · Project Management,,,,,,,,,,"['Microsoft Power BI', 'Project management', 'Management of market research projects', 'Distributed Team Management', 'Data analysis', 'Analysis of requirements']"
967,Internal,Python (Programming Language),Talend Open Studio,Microsoft Power BI,SQL No,SQL,English,Design and development of a facial recognition solution using multiple facial recognition models.,['Design and development of a facial recognition solution using multiple facial recognition models.'],Design and development of a facial recognition solution using multiple facial recognition models.,,,,,,,,,,"['Python (Programming Language)', 'Talend Open Studio', 'Microsoft Power BI', 'SQL No', 'SQL', 'English']"
968,Business Intelligence Consultant,Python,Data Warehouse,Data analysis,Talend,PowerBi,Microsoft SQL Server,Skills: QlikView · Microsoft Power BI · Talend,['Skills: QlikView · Microsoft Power BI · Talend'],Skills: QlikView · Microsoft Power BI · Talend,,,,,,,,,,"['Python', 'Data Warehouse', 'Data analysis', 'Talend', 'PowerBi', 'Microsoft SQL Server']"
969,DevOps Data & BI Engineer,Azure DevOps,"Extract, Transform, Load (ETL)",Data Analysis,Data Warehousing,Data Management,Data Integration,unknown,['unknown'],unknown,,,,,,,,,,"['Azure DevOps', 'Extract, Transform, Load (ETL)', 'Data Analysis', 'Data Warehousing', 'Data Management', 'Data Integration']"
970,Junior Development Engineer,Teamwork,Big data,SQL Server Integration Services (SSIS),Decision-making informatics,Microsoft Power BI,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['Teamwork', 'Big data', 'SQL Server Integration Services (SSIS)', 'Decision-making informatics', 'Microsoft Power BI', 'Data analysis']"
971,Full Stack Engineer,Angular CLI,Framework Spring,J2EE Web Services,Oracle Database,REST API,Trello,Competencies : Angular CLI · Framework Spring · MySQL,['Competencies : Angular CLI · Framework Spring · MySQL'],Competencies : Angular CLI · Framework Spring · MySQL,,,,,,,,,,"['Angular CLI', 'Framework Spring', 'J2EE Web Services', 'Oracle Database', 'REST API', 'Trello']"
972,Computer technologist,unknown,unknown,unknown,unknown,unknown,unknown,"JavaEE Teacher & Framework Spring 
Teacher Continuous Integration CI, DevOps
Head of Internships (RS) [Option: Software Engineering Ex:INFOB]
Spring alternance trainer, Continuous integration CI - Vermeg
Coach Angular - Integration and Development Projects ESPRIT","['JavaEE Teacher & Framework Spring ', 'Teacher Continuous Integration CI, DevOps', 'Head of Internships (RS) [Option: Software Engineering Ex:INFOB]', 'Spring alternance trainer, Continuous integration CI - Vermeg', 'Coach Angular - Integration and Development Projects ESPRIT']",JavaEE Teacher & Framework Spring ,"Teacher Continuous Integration CI, DevOps",Head of Internships (RS) [Option: Software Engineering Ex:INFOB],"Spring alternance trainer, Continuous integration CI - Vermeg",Coach Angular - Integration and Development Projects ESPRIT,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
973,Student,Git,Project Management,English,Research,Training,Communication,unknown,['unknown'],unknown,,,,,,,,,,"['Git', 'Project Management', 'English', 'Research', 'Training', 'Communication']"
974,Intern in Web Development,AngularJS,React.js,Data Mining,MongoDB,GitHub,Spring Security,unknown,['unknown'],unknown,,,,,,,,,,"['AngularJS', 'React.js', 'Data Mining', 'MongoDB', 'GitHub', 'Spring Security']"
975,Full-stack Developer,Framework Spring,Engineering,Cascading Style Sheets (CSS),Spring Boot,React.js,Docker products,Skills : Framework Spring · React.js · JavaScript · Java,['Skills : Framework Spring · React.js · JavaScript · Java'],Skills : Framework Spring · React.js · JavaScript · Java,,,,,,,,,,"['Framework Spring', 'Engineering', 'Cascading Style Sheets (CSS)', 'Spring Boot', 'React.js', 'Docker products']"
976,Full Stack JS Project Coordinator,Scrum,Service-oriented architecture (SOA),Symfony Framework,C++,C,Java,unknown,['unknown'],unknown,,,,,,,,,,"['Scrum', 'Service-oriented architecture (SOA)', 'Symfony Framework', 'C++', 'C', 'Java']"
977,Software Engineer,Engineering,Electromechanical,Information technology,Web development,Microcontrollers,Project management,unknown,['unknown'],unknown,,,,,,,,,,"['Engineering', 'Electromechanical', 'Information technology', 'Web development', 'Microcontrollers', 'Project management']"
978,Intern in Web Development,React.js,AngularJS,TypeScript,Node.js,Symfony Framework,Spring Boot,Skills : Spring Security · Angular · MySQL · Spring Boot,['Skills : Spring Security · Angular · MySQL · Spring Boot'],Skills : Spring Security · Angular · MySQL · Spring Boot,,,,,,,,,,"['React.js', 'AngularJS', 'TypeScript', 'Node.js', 'Symfony Framework', 'Spring Boot']"
979,Trainee,Symfony,Virtualization,Private Clouds,Bootstrap,CSS,Symphony,"Internship in Business,
Project: Development of an INTERNO platform specifically dedicated to the STEG administrative team in order to enable them to better control the management of trainees.","['Internship in Business,', 'Project: Development of an INTERNO platform specifically dedicated to the STEG administrative team in order to enable them to better control the management of trainees.']","Internship in Business,",Project: Development of an INTERNO platform specifically dedicated to the STEG administrative team in order to enable them to better control the management of trainees.,,,,,,,,,"['Symfony', 'Virtualization', 'Private Clouds', 'Bootstrap', 'CSS', 'Symphony']"
980,Full-stack Js Developer,Web development,Teamwork,Project management,Advertising,GitHub,AngularJS,unknown,['unknown'],unknown,,,,,,,,,,"['Web development', 'Teamwork', 'Project management', 'Advertising', 'GitHub', 'AngularJS']"
981,Full stack engineer,WebRTC,CSS3,Bootstrap,HTML5,Css3,Bootstrap4,unknown,['unknown'],unknown,,,,,,,,,,"['WebRTC', 'CSS3', 'Bootstrap', 'HTML5', 'Css3', 'Bootstrap4']"
982,Full stack engineer,XML,Reactjs,React.js,Angular,.NET framework,docker,unknown,['unknown'],unknown,,,,,,,,,,"['XML', 'Reactjs', 'React.js', 'Angular', '.NET framework', 'docker']"
983,Project trainee,Symfony Framework,Canva,Scrum,UiPath,Automation of robotic processes (APR),unknown,unknown,['unknown'],unknown,,,,,,,,,,"['Symfony Framework', 'Canva', 'Scrum', 'UiPath', 'Automation of robotic processes (APR)', 'unknown']"
984,Full Stack Developer,Sonar,Sonarqube,JUnit,Spring Security,Spring Data,Material-IU,unknown,['unknown'],unknown,,,,,,,,,,"['Sonar', 'Sonarqube', 'JUnit', 'Spring Security', 'Spring Data', 'Material-IU']"
985,Telemarketer in a call centre,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
986,Junior Software Engineer,MongoDB,JavaScript,PHP,Node.js,SQL No,Symfony,unknown,['unknown'],unknown,,,,,,,,,,"['MongoDB', 'JavaScript', 'PHP', 'Node.js', 'SQL No', 'Symfony']"
987,Web developer,Java,HTML,React.js,symfony,Node.js,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'HTML', 'React.js', 'symfony', 'Node.js', 'unknown']"
988,Full Stack Developer Angular/.Net,DevOps,Oracle Database Administration,Spring Boot,Sonarqube,ASP.NET,.NET Framework,Skills : Sonarqube · ASP.NET ·.NET Framework · docker · Gitlab · Jenkins · Continuous Integration and Continuous Delivery (CI/CD) · JIRA · Angular,['Skills : Sonarqube · ASP.NET ·.NET Framework · docker · Gitlab · Jenkins · Continuous Integration and Continuous Delivery (CI/CD) · JIRA · Angular'],Skills : Sonarqube · ASP.NET ·.NET Framework · docker · Gitlab · Jenkins · Continuous Integration and Continuous Delivery (CI/CD) · JIRA · Angular,,,,,,,,,,"['DevOps', 'Oracle Database Administration', 'Spring Boot', 'Sonarqube', 'ASP.NET', '.NET Framework']"
989,Aeronautics Engineer,Discrete Optimization,Engineering,Aircraft,Project Management,Aviation,Finish Element Analysis,"• Overall aircraft design
• Multidisciplinary optimization and analysis
• Plan of experiments
• GEMSEO (generic engine for the exploration and optimization of multidisciplinary scenarios)
• SoSTrades (Comparative System Analysis)","['• Overall aircraft design', '• Multidisciplinary optimization and analysis', '• Plan of experiments', '• GEMSEO (generic engine for the exploration and optimization of multidisciplinary scenarios)', '• SoSTrades (Comparative System Analysis)']",• Overall aircraft design,• Multidisciplinary optimization and analysis,• Plan of experiments,• GEMSEO (generic engine for the exploration and optimization of multidisciplinary scenarios),• SoSTrades (Comparative System Analysis),,,,,,"['Discrete Optimization', 'Engineering', 'Aircraft', 'Project Management', 'Aviation', 'Finish Element Analysis']"
990,Analyst Follow-up of Fixed Income Market Activities,Exotic Derivatives,Financial Engineering,Machine Learning,Python,Structured Finance,Portfolio Management,"Certification and market risk analysis [Greeks, VaR/Press tests]

Monitoring of limit frames and explanation of exceedances

Analysis and certification of PnL

Trade with trading

Respond to ""Special Request"" requests from our partners (Trade or Risk Directorate)

Participate in the specification and analysis on regulatory subjects (FRTB)

Develop VBA or Python tools to follow the book exhibition","['Certification and market risk analysis [Greeks, VaR/Press tests]', '', 'Monitoring of limit frames and explanation of exceedances', '', 'Analysis and certification of PnL', '', 'Trade with trading', '', 'Respond to ""Special Request"" requests from our partners (Trade or Risk Directorate)', '', 'Participate in the specification and analysis on regulatory subjects (FRTB)', '', 'Develop VBA or Python tools to follow the book exhibition']","Certification and market risk analysis [Greeks, VaR/Press tests]",,Monitoring of limit frames and explanation of exceedances,,Analysis and certification of PnL,,Trade with trading,,"Respond to ""Special Request"" requests from our partners (Trade or Risk Directorate)",,"['Exotic Derivatives', 'Financial Engineering', 'Machine Learning', 'Python', 'Structured Finance', 'Portfolio Management']"
991,R&D Engineer Assistant,Python (programming language),Linear programming,Mixed Integer Linear Programming,Project management,SWOT analysis,Industrial design,"Internship at the National Laboratory of the Fields Magnétiques Intenses - LNCMI Grenoble (the multidisciplinary project in collaboration with CEA, G2Elab and STL).

Subject: Energy optimisation of a LNCMI fatal heat recovery system using the OMEGAlpes software

Note: OMEGAlpes is an open-source tool developed in G2ELab, encoded in python and based on MILP formalism.

Missions: 
- Creation of a database on the sizes needed for optimization.
- The modeling and dimensioning of the recovery system by the OMEGAlpes decision support tool.
- Study of possible scenarios for CO2 reduction and the share of residual heat recovered by the system.

Results: 
The study shows the technical and economic feasibility of the project and will lead to concrete actions on the ground. It will begin in early 2023.","['Internship at the National Laboratory of the Fields Magnétiques Intenses - LNCMI Grenoble (the multidisciplinary project in collaboration with CEA, G2Elab and STL).', '', 'Subject: Energy optimisation of a LNCMI fatal heat recovery system using the OMEGAlpes software', '', 'Note: OMEGAlpes is an open-source tool developed in G2ELab, encoded in python and based on MILP formalism.', '', 'Missions: ', '- Creation of a database on the sizes needed for optimization.', '- The modeling and dimensioning of the recovery system by the OMEGAlpes decision support tool.', '- Study of possible scenarios for CO2 reduction and the share of residual heat recovered by the system.', '', 'Results: ', 'The study shows the technical and economic feasibility of the project and will lead to concrete actions on the ground. It will begin in early 2023.']","Internship at the National Laboratory of the Fields Magnétiques Intenses - LNCMI Grenoble (the multidisciplinary project in collaboration with CEA, G2Elab and STL).",,Subject: Energy optimisation of a LNCMI fatal heat recovery system using the OMEGAlpes software,,"Note: OMEGAlpes is an open-source tool developed in G2ELab, encoded in python and based on MILP formalism.",,Missions: ,- Creation of a database on the sizes needed for optimization.,- The modeling and dimensioning of the recovery system by the OMEGAlpes decision support tool.,- Study of possible scenarios for CO2 reduction and the share of residual heat recovered by the system.,"['Python (programming language)', 'Linear programming', 'Mixed Integer Linear Programming', 'Project management', 'SWOT analysis', 'Industrial design']"
992,Trainee Engineer IT Full-stack,Angular,Bootstrap,JIRA,Scrum,material,GitLab,"I joined a team of 9 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of the Customer Relationship Management (CRM) application.
Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA","['I joined a team of 9 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of the Customer Relationship Management (CRM) application.', 'Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA']","I joined a team of 9 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of the Customer Relationship Management (CRM) application.","Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA",,,,,,,,,"['Angular', 'Bootstrap', 'JIRA', 'Scrum', 'material', 'GitLab']"
