,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
23,Analyst Follow-up of Fixed Income Market Activities,Exotic Derivatives,Financial Engineering,Machine Learning,Python,Structured Finance,Portfolio Management,"Certification and market risk analysis [Greeks, VaR/Press tests]

Monitoring of limit frames and explanation of exceedances

Analysis and certification of PnL

Trade with trading

Respond to ""Special Request"" requests from our partners (Trade or Risk Directorate)

Participate in the specification and analysis on regulatory subjects (FRTB)

Develop VBA or Python tools to follow the book exhibition",Trading and Market Activities Analyst / Double Diploma Engineer-Manager,Business Analyst Exotic Product,"Participation in the creation and integration of new exotic financial products (derivatives, FX, credit derivatives, equity derivatives and commodities) into the information system.

Implementation of solutions to digitize processes.
 
Active contribution to product definition with trading, development specifications with ISDs, testing and migration.
 
Interaction with market operators to understand their needs and implement new products in conjunction with R&D, Risk and Operations departments.
 
Support requests for updates and materialize them in different parts of the system, mainly confirmations and representation of financial data and pricing models.
 
Performance of non-regression tests (valorization, risk analysis) prior to product modification (New features, new models and/or calibration).
 
Follow-up and reporting of products and their modifications.",unckown,unckown,unckown
24,R&D Engineer Assistant,Python (programming language),Linear programming,Mixed Integer Linear Programming,Project management,SWOT analysis,Industrial design,"Internship at the National Laboratory of the Fields Magnétiques Intenses - LNCMI Grenoble (the multidisciplinary project in collaboration with CEA, G2Elab and STL).

Subject: Energy optimisation of a LNCMI fatal heat recovery system using the OMEGAlpes software

Note: OMEGAlpes is an open-source tool developed in G2ELab, encoded in python and based on MILP formalism.

Missions: 
- Creation of a database on the sizes needed for optimization.
- The modeling and dimensioning of the recovery system by the OMEGAlpes decision support tool.
- Study of possible scenarios for CO2 reduction and the share of residual heat recovered by the system.

Results: 
The study shows the technical and economic feasibility of the project and will lead to concrete actions on the ground. It will begin in early 2023.",Industrial engineering company - M2 Data & artificial intelligence in industrial engineering,Assistant Engineer Method,"Missions: 
Improvement of the SRT in the assembly plant PRP zone (Welding brace per point) through the deployment of the SMED approach:
    - Deployment of the steps of the SMED method on the PRP machine.
    - Development of a new standard for serial change, and action on solutions.

Results: 
    - Reduction of serial change time from 27 min to 16 min (47%).
    - Change of SRT from 80% to 90%.

Department: Assembly
Team: Method",unckown,unckown,unckown
25,Trainee Engineer IT Full-stack,Angular,Bootstrap,JIRA,Scrum,material,GitLab,"I joined a team of 9 people, We worked with the agile scrum methodology to make the design (Diagrams + Project Management...) as well as in the development part of the Customer Relationship Management (CRM) application.
Keywords : SpringBoot, Angular, MongoDB, MaterialUI, BootStrap, Git, GitLab, SCRUM, JIRA",Full-stack web developer (Angular/Reactjs/SpringBoot/NodeJs),Intern in Web Development,Summer intern,unckown,unckown,unckown
26,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
27,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
28,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
29,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
30,Data Scientist,Object-oriented programming (POO),Machine learning,Time series,AutoML,Model drifting,Study of time series,"Subject: AutoML Tool Benchmark: Usage Case, Performance Measurement and Integration 

Main tasks:
▪的 Achievement of the state of the art of AutoML's techniques
▪的 Cartography at the date of the various AutoML packages for use in products in production
▪的 Implementation of an opensource AutoML reproducible library evaluation test bench
▪的 Evaluation of AutoML on a TotalEnergy Use Case: Real-time prediction of offshore & onshore oil platform production
▪的 Shell.ai hackathon participation: Sustainable and Affordable Energy (final ranking: top 20/1200)
▪的 Implementation of an internal open-source library at the Total Digital Factory (DSAutoML): Centralization of 4 AutoML packages within a single tool allowing rapid benchmarking and prototyping of high-performance ML models for the Data Scientist
▪的 Writing a Medium Article",Data Scientist @ Total Digital Factory - Data Science & Supply Chain,Data Scientist internally,"的 Shippeo is the European leader in the Supply Chain Visibility. Its SaaS solution gives carriers and industrialists instant access to predictive and real-time information on each delivery on both land, sea and intermodal flows.

I worked for 6 months with the Analyze & Predict team of about 20 Data Scientist, Data Analyst, Data Engineer and Data Product Manager. This team is responsible for analyzing, exploring and using large volumes of data from Shippeo's customers' Supply Chain ecosystems. One of the team's main objectives is to build and improve models of Machine Learning in order to predict the ETA (Estimated time of Arrival) of trucks on a warehouse sequence to visit.

My missions were as follows:
▪的 Statistical and exploratory analyses on the use of a new routing API
▪的 Sensitivity analysis of the model in production linked to a new version of API (model sensitivity/model drifting)
▪的 Creation of a metric using sequence alignment techniques to quantify spatial similarity between 2 routes
▪的 Clustering to segment groups of industries/carriers 
▪的 POC on the use/training of an LM model to detect upstream routing errors
Construction and design of a preprocessing pipeline for scaling the retained solution (MLOPS)
▪的 Creation of a dashboard on the routing (definition of KPI, Data Viz with carrier mesh, shippingper and geographical)

The tools used are as follows:
▪的 Google Cloud Platform, Google Cloud Storage, Google Cloud Big Query (cloud environment)
Asana, Github Project, Zenhub, sprint methodology, kanban (project management)
Python 3, VSCode, Jupyter Notebook, Pyenv (IDE)
Dataiku, Docker (MLOPS)
Tableau, Dataiku, Matplotlib, Dash, Seaborn, Plotly (Data Viz & BI)",unckown,unckown,unckown
31,Developer Assistant,Python,Angular,Docker,Symfony,Next.js,PostgreSQL,Skills : Python · React.js,的 Full Stack JS Web Developer的 Software Engineer,Web developer,"The establishment of a delivery management and carrier management platform (TMS) with the possibility of using several delivery partners. 
Api platform v3 ",unckown,unckown,unckown
32,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
33,Process Development Engineer 1,Biomedical Engineering,Research,German language expert,Usability,Research and Development (R&D),Mechanical Engineering,unckown,Engineer (MSME) and U.S. Permanent Resident (from Germany) interested in Medical Engineering and Medical Devices in the Twin Cities Area,Dismantling,"From Dec 2020 until Dec 2021 I was in my Green Card application process, legally preventing me to work here in the U.S. However, I did use the time as the first membership coordinator of Minnesota Underwater Hockey. I am responsible for our new player experience, collecting pool fees and forcing waves, as well as our social media and marketing.
I received my Green Card in December 2021, then I travelled to Germany to visit my family and now I am looking for the right position in the medical device industry in Minnesota.",unckown,unckown,unckown
34,Validation & Software Verification Engineer,Autonomy,Learning through experience,Self-learning,Selenium tests,C#,Adaptability,"Thales Digital Services

Software verification and validation of laboratory instruments.",QA Engineer / Software Validation Engineer,QA Engineer,"Missions:
QA Lead / QA Engineer
Medical fields: coagulation, diabetes, oncology, neurology.
Products : CoaguChekLink©, Insulia© and products under development.

- Analysis and review of software specifications for definition of testing strategy in accordance with the regulations of Medical Devices (ISO13485, IEC 62304) and internal quality processes.
- Design of system software tests, exploratory tests, Method tests in the case of complex algorithms.
- Web test automation : BDD, Visual Studio - Selenium / Gherkin syntax / c# language
- Run tests on web and mobile applications (iOS, Android) in verification environments, preprod and virtual machines.
- Preparation of documentation according to internal quality process (test plan, test results reports).
- Uplifted, investigated and followed up on anomalies.
- Participation in continuous improvement of internal V&V processes.
- Work in Scrum methodologies, Agile
- Use of Azure DevOps for the management of tests, specifications, anomalies, developments.
- Capitalization of knowledge for new entrants on projects.

Achievements:
- Implementation on my arrival in Voluntis of all the test activities (only V&V representative of the project), in direct collaboration with Roche Diagnostics for CoaguChek Link© project. => Release within tight deadlines of an Android Mobile app with a high technical difficulty (pairing bluetooth with a biological data reader).
- Great adaptability and knowledge of the V&V position allowing me to have to date worked on 5 different projects in various medical fields.
- Raised in recent skills in the field of testing automation allowing me now to automate web tests (self-training, internal accompaniment)",unckown,unckown,unckown
35,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
36,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
37,Back-end developer,English,PHP,SQL,Public Speaking,Customer Service,Java,Skills : Nova · Moneris · GitHub · Laravel · View.js · PHP · SQL,PHP web developer,Web developer php,"proposed sale of works of art online: www.gallea.ca
- back-end Laravel PHP
- front-end View.JS, Pinia, Tailwind CSS
- ops: forge, travel, vagrant, telescope",unckown,unckown,unckown
38,Student,Angular,Enjoy Challenges,Communication,Problem Solving,Teamwork,JavaFX,unckown,Student at Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT,Business immersion internship,Business immersion internship at DSI-ESPRIT,unckown,unckown,unckown
39,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
40,Trainee,Project management,DBeaver,Teamwork,Scrum,Docker Desktop,PostgreSQL,"Development of authentication and dashboard to monitor and plan work orders.
Technologies used: Angular and SpringBoot.",Engineering Student at ESPRIT的 Looking for a graduation internship,Trainee,In-company immersion course,unckown,unckown,unckown
41,Product Manager,Cross-functional Team Leadership,Product Lifecycle Management,Agile product owner,Strategic Roadmaps,Jira,Digital Marketing,"Development and own the vision and roadmap of the platform and management aspects
of our core product solutions.

Support lengther-term visions and plans for new products development (included Product Owner Agile responsibilities). Support launch of new products & features into new markets & segments.

Priority in agile mode, in order to deliver constant added value to the customer while optimizing engineering resources.

Raising government funding to create technological innovations

Member of the CyberEco team 'Your multi-sectoral reference in cybersecurity in Quebec and Canada'",Product Manager,Product Consultant & Marketing,"Market research carried out 
Establish and/or structure the product development process – agile 
Marketing support at product launch 
Trade strategy",unckown,unckown,unckown
42,Software Engineer,React,View.js,Java,React.js,Angular,Spring Boot,Competencies : Java · React.js,Software Engineer at MaibornWolff GmbH,Internal,unckown,unckown,unckown,unckown
43,Business Intelligence Team Lead,"Extract, Transform, Load (ETL)",Decision-making informatics,Data Warehouse,ITIL,Management services IT,HP Asset Manager,unckown,"Executive MBA, Business Intelligence Team Lead at Talan Tunisia",AMOE Project Leader,"Skills : Extract, Transform, Load (ETL)",unckown,unckown,unckown
44,Talent Acquisition Specialist,Team spirit,Recruitment,Human resources management,Labour law,English,Law,"INGENIANCE specializes in consulting and engineering in market finance, banking and insurance. Our consultants are involved in missions related to information systems and market finance within the major banking, financial and insurer groups in the Place de Paris.

Since 2012, INGENIANCE has grown between 25 and 40% per year. In 2022, we plan to recruit 160 staff (consultants and staff at headquarters).

If you are a computer engineer (data engineer, data scientist, developer C++, Java, C#, Python, Scala...), functional consultant (market finance, banking or insurance), project manager, PMO, Risk manager, Quant, Commando or professional of business functions or recruitment, internship or CDI.

I'm interested in your profile so let's meet",Talent Acquisition Specialist,Recruitment Officer and Employer Brand,"As an Executive Recruitment Officer & Brand Alternate Employer at the Technology & Engineering Center, I am attached to Engineering Domain Physical & Mechanical Engineering and my main tasks are:

Recruitment:
- Follow the recruitment needs of 3 Teams Units engaged in 6 occupations: Mechanical Design, Mechanical Analysis, Fluid & Thermal, Acoustics & Vibration, Materials, Products & Processes Engineering, Multi-Physics & Digital Twin.
- Participate in weekly operational meetings and their facilitation,
- Publish/manage job vacancies and track applications,
- Ensure sourcing (Employment Centre, APEC, Job Region, Monster, LinkedIN) and telephone pre-qualifications of candidates,
- Conduct HR interviews (physical, skype, telephone),
- Managing co-optations,
- References,
- Follow the files and answers to the candidates.

Employer Mark:
- Participate in employment and school forums (contact with candidates, CV collection, interviews, follow-up of candidates),
- To participate in workshops for simulation of interviews within schools,
- To participate in the development of the employer brand through social networks,
- Deploy our recruitment strategy to our partner schools,
- Organize and participate in recruitment events.",unckown,unckown,unckown
45,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
46,Trainee,unckown,unckown,unckown,unckown,unckown,unckown,"Internship in mobile development
Subject: Development of an application for log management  
Technologies : React Native / MongoDB",Postgraduate student in computer science engineering speciality TWIN - ESPRIT,Trainee,"Internship in web development
Project: Creation of an Intranet network for the management of the vaccination status of employees of a company
Technologies : jQuery / SQL / PHP",unckown,unckown,unckown
47,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
48,Team Lead,Programming,Leadership,Express.js,Node.js,Problem Solving,Python (Programming Language),unckown,Full stack engineer! Team Lead,Full Stack Engineer,Skills : FastAPI · Node.js · MongoDB · React.js · AngularJS · Express.js,unckown,unckown,unckown
49,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
50,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
51,Software Engineer ( Spring boot),Java,Spring Framework,Angular,Spring Boot,Service-Oriented Architecture (SOA),Microservices,unckown,Software Engineer ( Spring boot),Software Engineer,unckown,unckown,unckown,unckown
52,Research Engineer (PhD Candidate),Microsoft Excel,SolidWorks,AutoCAD,5S,Microsoft PowerPoint,Microsoft Office,unckown,Research Engineering & Production Engineering & Strategic Business Development University Professor Specialist in Sustainable Practices Manufacturing Systems Data Scientist,CRO Advisor & Brand Ambassador,"► Ambassador da marca
► Talent Acquisition Specialist in Data-driven technologies
► Consultant Estratégica de Transcação Digital
► Identificar o estado da arte de concorrentes e negociar carrias",unckown,unckown,unckown
53,Director Africa,GPS,Surveying,Geomatics,Business Strategy,International Sales,Sale of solutions,unckown,Digital Twin-Business Development-Strategy-Management- Executive MBA,Regional Manager - French-speaking Africa and Turkey,unckown,unckown,unckown,unckown
54,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
55,unckown,Web development,Full-stack development,Front-end development,CentOS,Ubuntu,Linux,unckown,IT Engineering Student at Esprit university specialized in the TWIN option ( web and internet technology ),unckown,unckown,unckown,unckown,unckown
56,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
57,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
58,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
59,Managing Director,Start-ups,Web Development,SEO,Agile Methodologies,Strategy,Social Media,unckown,"Investor, Tech Entrepreneur and Advisor",Board Member,unckown,unckown,unckown,unckown
60,Computer consultant,Project deployment,DevOps,React.js,Node.js,Microservices,Git,unckown,IT Consultant,Software Development Engineer,Skills : Microservices,unckown,unckown,unckown
61,Head of the electromechanical department,Engineering,Matlab,Microsoft Office,Engineering,C,Project Management,Skills: Automatic learning · Improvement of business processes · Pedagogical research · Python (programming language) · Agile methods,Head of the electromechanical department at the Ecole Supérieure Privée d'Ingénierie et de Technologies,Research Teacher - Mechanics Unit Coordinator,Skills : Pedagogical research · Python (programming language),unckown,unckown,unckown
62,Strategic Equity & Financing Advisory Support,Capital market,Equity,Financial Markets,Derivatives,Finance,Fixed income,Skills : Capital market · Equity · Financial Markets · Derivatives,Strategic Equity & Financing at HSBC,PLM User support @Safran Electronics & Defense,"- PLM (3DExperience) Help desk
- Managing and solving bugs of the MyPLM platform",unckown,unckown,unckown
63,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
64,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
65,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
66,Devops Engineer,Java,Java Enterprise Edition,Ansible,Google Cloud Platform (GCP),Google Kubernetes Engine (GKE),Devops,"• Build Cloud Native platforms based on Kubernetes, GKE, AWS
• Automatic tasks by scripting and using CI/CD tools
• Operating microservices from development to large scale production environments
• Support development teams on Operations related to their software
• Participant to cost optimisation, following FinOps approach",Devops Engineer at Neo9,Devops Intern,Participation in the development and implementation of tools on various Neo projects9,unckown,unckown,unckown
67,Teacher-Trainer,Digital marketing,Strategic communication,Training and innovation,Mastering information and communication technologies,Working as a team,PHP,Skills: Training and innovation · Mastering information and communication technologies · Working as a team,IT Trainer : Angular/Symfony @Esprit & Marcom @SSD TEAM & Full Stack Developer,Marketing Communications Coordinator,Skills : Digital marketing · Strategic communication,unckown,unckown,unckown
68,IoT & Asset Management Consultant,Python,Visual Basic for Applications (VBA),Project management,ARCGIS,Adobe Photoshop,InDesign,unckown,IoT & Asset Management Consultant I Industry 4.0,Reference GMAO SPOT Route ZP IdF,"- Management of the GMAO deployment/SAV team on the IDF production area
- Strategic and operational pilotage support
- Participation in the design and development of business applications/Preventive maintenance",unckown,unckown,unckown
69,Technical Blockchain Team Leader,Solidarity,Node.js,Angular,React.js,Engineering,Agile Methodologies,unckown,Technical blockchain team lead at Lightency的 DEFI consultant & Near dev,Full Stack Engineer ( Dotnet + Angular ),unckown,unckown,unckown,unckown
70,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
71,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
72,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
73,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
74,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
75,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
76,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
77,PMO SENIOR DIGITAL PROCESSATION,Project management,Team management,E-commerce,Digital marketing,Agile methods,Agile project management,"As part of the European research and innovation programme, GAEL Systems offers innovative software solutions to explore, process, control and distribute Earth observation data for prestigious customers such as space agencies (ESA, NASA, CNES), industry and aerospace service companies. In this context of strategic and international projects (DeepCube H2020, Digital Twin Earth) assumes multiple responsibilities.

• Functional and operational piloting, allocation of resources, customer relations, AQP 
• Definition of architecture and roadmap IT in line with the company's objectives 
• Planning and resource allocation 
• Cross-sectional organization and steering of teams
• Drafting and validation of functional deliverables
• Reporting and monitoring of activities with CODIR
• Methodological support and maintenance of structural frameworks
• Optimization of Agile project methodology, coaching of team leaders and junior project leaders",PMO SENIOR / PROJECT MANAGER,DIGITAL PROCESSING PROJECT RESPONSIBLE,"Meta System designs and distributes on-board electronic systems to the automotive industry. I take responsibility for projects related to the technical deployment of solutions (satellite geolocation boxes, connected smart alarms) and the coordination of the offshore IT team in Russia.

• Piloting the implementation of solutions (expression of need, impact assessment, calibration, parameterization and configuration, specific developments, tests and recipe, production, VABF, VSR)
• Management of the technical team and interface with the development team
• Strategic deployment steering, technical and functional recommendations
• Pre-sales intervention as an expert, technical support
• Expert support N3 resellers and partners
• Technological and competitive monitoring",unckown,unckown,unckown
78,Account Executive,Negotiations,Lead generation,Business-to-Business (BtoB),Sale,Start-up,Human relations,"We keep the commitments because we know how to pilot them.

EDWARD Suite is the Decision Platform designed for decision makers who need the right information at the right time to achieve the right arbitrations to ensure the success of the company's changes.

Whatever the activity or sector, projects experience real inflation in terms of the number of actors involved, the information involved and their cross-cutting nature. Capturing and processing the right useful and value-added information requires managing a growing amount of information in real time.

In this ocean of data generated by the projects, EDWARD Suite, Cockpit 360° of the General Directorate, allows to order, prioritize and share useful information, in real time, to make a decision.

EDWARD Suite is the Decision Management Platform for decision makers and their employees.

EDWARD Suite is a software suite designed and boosted by EGGERS Consulting / developed and maintained by EGGERS Digital (eggers-counsel.com)

edward-suite.com/en",EDWARD Ambassador,Business Development Associate,Skills : Generation of leads · Business-to-Business (BtoB) · Sales,unckown,unckown,unckown
79,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
80,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
81,Responsible for digital transformation,Quality control,Project management,Microsoft Excel,Industry 4.0,Continuous improvement,Autonomy,"Pilot, set up and monitor process digitization project – setting up applications on KizeoForms 
-Current status study and needs analysis
-Modification of processes 
-Provide customers with tailor-made and innovative solutions for optimising 
activities on the site.
-Setting the form on KizeoForms 
-Realize and participate in the test of the solution.
-Accompaniment of teams and participation in the conduct of change.
-Training and support for users.",Industrial engineer in search of a new opportunity,Research/development engineer,"The proposal and implementation of smart architecture 
decision-making based on the Digital Twin.
-Producing a digital architecture design
-Propose solutions of digital transformation, for each level of 
architecture
-Mening a State-of-the-Art on Digital Twin and Smart Architectures in
Industry",unckown,unckown,unckown
82,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
83,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
84,Software Engineer,Algorithms,Apollo GraphQL,JavaScript,Node.js,React.js,MongoDB,"achieve with the team the creating of NFT market-place based on new the pattern of Distributed Ledger Technologies HEDERA ‐ HASH‐GRAPH. 
Keywords : hederaAPI, node js,express, prisma, graphql, apollo, type-graphql, docker, Gatsby, Figma, mongoDb, algolia",junior software engineer,Full-stack engineer,"- Leading the back-end development and imposing headless-cms technology to gain time. 
- Unit test the API's to ensure their capacities
- Using container technology for continuous deployment 
- Keywords : strapi, next js, aws [( S3 ), ( lambda serverless )), docker, sqlite3[test], mariaDB(production), bookshelf js, knex, vercel, git, kanbanize.",unckown,unckown,unckown
85,Founding President,International human rights law,International relationship,Communication Policy and Media,Spirit of Synthesis and Analysis,Entrepreneurship,Leadership,"The studies Center for development strategies is an association run by young people.
objective or: 
1 - functionalize scientific research and conduct research and studies that provide strategies for national development and democracy.
2 - helping young people to carry out development projects and create job opportunities.
3 - training, development and follow-up of talented young leaders.
4 - organized forums, meetings and cultural and sports events.
5 - establishment means of exchange of studies and contribution to winning relations with scientific research centres and with national and international organizations and association.

General view:
The Centre des Études Stratégiques de développement is an association run by young people. It was founded in June 2013. It is an independent structure that is not subject to any party, it is located in Tunis. Our objectives are to achieve national development while developing development projects and creating work opportunities. Our association will allow strong support for talented young project creators and an important follow-up in each step which will promote the concept of democracy in civil society and institutions and will develop skills.
Vision: For a more liberated environment.
Message from the Association:
We, the Center for Strategic Development Studies, announce our commitment to improving the level of national development and ensuring democracy for society and institutions. Targeted development is based on economic, social and cultural empowerment for as many people as possible who will be able to participate in decision-making.",President and Founder at Centre des Études Stratégiques de Développement,Tax Adviser,"Assist individuals and businesses in their operations and the preparation of their returns to be in good standing with the tax authorities.
Argument with the tax administration in case of dispute or dispute.
Identify the tax implications of their economic situation and decisions in order to optimize their taxes.",unckown,unckown,unckown
86,Machining Technician Expert,PowerMill,AutoCAD,CATIA,Mastercam,DP ESPRIT,CNC Programming,"- Read and interpret engineering drawing and blueprints.
- Verification of new product designs to verify their functionality and tools required.
- Create multi-axis CNC programs for twin turret lathes, 4 axis mills using CAD/CAM software, 
Mastercam, AutoCAD.
- Analysis of the program using Vericut and CIMCO.
- Program, set up and operate a variety of conventional and CNC machines... 
Control.
- Performs precision work to exact tolerances for Tools R&D and/or Production Engineering.
- Development of concepts, ideas, and methods for solving milling / machining problems.
- Mount, install, align, and secure tools, attachments, fixtures, and work-pieces on machines, using 
hand tools and precision measuring instruments.
- Transfer programs from servers to CNC machines, using computer network links, USB drives.
- Verify dimensions of products for accuracy and conformity to specifications using precision 
measuring instruments.
- Communicate effectively with Manufacturing Engineering, Product Development Engineering, plant 
personnel and individuals outside the company.
- Reducing the cycle time, ensuring the quality of the product, minimizing tools consumption.",CNC Programmer / Machinist,CNC Programmer,"- Analyze the drawing of a workpiece with Catia V5
- Identify the machining phases
- Perform programming toolpaths on 3, 4 and 5
Axis CNC milling Machines with Mastercam 2018 and Dp Esprit.
- analysis of the program using Vericut and CIMCO.
- Processed to machining parts.
- Check and control the quality of machined parts.
- Ensuring respect with quality standards.
- Perform the first level maintenance of CNC machines.",unckown,unckown,unckown
87,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
88,Full-stack Developer,React,ASP.NET,Microsoft SQL Server,AngularJS,REST APIs,MySQL,"Design and development of a web application (Front and Back) that allows the user to consult and create personalized diets composed of a set of meals based on recipes that he can also browse through the site, consult all the matching nutritional information and obtain the shopping list of the ingredients necessary for his diet.",IT Engineering Student (TWIN),Full-stack Developer,"The integration of a special part with VOCID-19 information in the official website of the airline ""Tunis Air"", this is a series of intermediate pages between the reservation part and the payment part of the tickets developed in back -end and front-end which aim to inform the user of all the restrictions imposed and the measures to be taken before travelling according to the thing destination.",unckown,unckown,unckown
89,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
90,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
91,Senior Project Manager,Analytical Skills,Project Management,Strategy,Physical Asset Management,Investment Management,Business English,"- Structure of a commercial offer and marketing support for asset management services
- Development of investment strategies and commercial offers for the management of industrial assets
- Research of IT solutions to improve the operation of industrial asset management services.
- 2nd place in an intrapreunariate project competition focused on resilience to climate change
- Creation of digital twin solution for infrastructure",Project management: Strategy and analysis: Innovation:,Technical Officer,"- Structure of the asset management offer of the business unit and drafting of a white paper on asset management, thus demonstrating Systra's expertise in the field
- Management of technical missions in the field of industrial asset management and development of investment strategies
- Due Technical Diligence of the organisation of the maintenance of the Transgabonais line in Gabon (SETRAG)
- Management of a project of Proof of Concept for the technical repositories of the Grand Paris Express network
- Management of a benchmark study on the organisation of metro maintenance in France for the Société du Grand Paris",unckown,unckown,unckown
92,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
93,Full Stack Developer,React.js,Git,Communication,Node.js,Express.js,Creativity,"Graduate internship, currently: 
 • Implementing and improving features for different clients' apps.","""Web Developer"" - JavaScript: Python",Full-stack Developer,Cemiar is a creator of custom software and technological solutions for businesses and startups,unckown,unckown,unckown
94,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
95,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
96,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
97,Digital Activator,Customer analysis,Linux System Administration,JavaScript,PHP,E-commerce,Marketing strategy,"France Num is the government initiative for the digital transformation of TPEs/SMEs led by the Directorate-General for Enterprise. France Num provides practical resources, financial aid and a network of advisers (""activators"") which are active throughout the country. The action programme was built in partnership with Regions de France, all regions and professional organisations and is based on the recommendations of the Conseil national du numérique.",President at SAS WEBAGENCELILLE.COM,President,"Independent in digital: web marketing and project management consulting, website development, IT security audit, Linux server architect, SEO/SEA marketer web. A 5-legged sheep...",unckown,unckown,unckown
98,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
99,Accountant,Team spirit,Cocktails,Adobe Photoshop,Adobe InDesign,Microsoft Office,SketchUp,unckown,M1 MHR Management at the Ecole de Paris des Métiers de la Table,Chief of Staff,unckown,unckown,unckown,unckown
100,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
101,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
